locustag_ID;locustag;GenBank Accession;Molweight (kDa);length (nt);Transmembrane Helices (JGI);No_of_disordered_domains;length_of_disordered_domains;percentage_of_discordered_domain;tool_for_disordered_domains;Localisation(DavidLeaSmith);NbofTMHs(DavidLeaSmith);nr_of_interactions(Sato);self interaction(Sato);interactions(Sato)
sll0337-as;sll0337;NP_442021;NA;101;0;NA;NA;NA;NA;PM;0;5;no;slr0661 slr1878 slr1594 sll1408 slr0446
sll0355;sll0355;NP_441859;NA;993;10;NA;NA;NA;NA;NA;NA;3;no;sll1614 sll1143 sll1685
sll0355-5UTR;sll0355;NP_441859;NA;33;10;NA;NA;NA;NA;NA;NA;3;no;sll1614 sll1143 sll1685
sll0360;sll0360;NP_441847;NA;834;8;NA;NA;NA;NA;NA;NA;3;no;sll1614 slr1471 sll0804
sll0360-5UTR;sll0360;NP_441847;NA;186;8;NA;NA;NA;NA;NA;NA;3;no;sll1614 slr1471 sll0804
sll0361;sll0361;NP_441846;17.187;471;0;NA;NA;NA;NA;PM;0;4;no;slr1708 slr0665 sll0641 slr2013
sll0361-3UTR;sll0361;NP_441846;NA;63;0;NA;NA;NA;NA;PM;0;4;no;slr1708 slr0665 sll0641 slr2013
sll0362;sll0362;NP_441845;96.14;2634;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0341
sll0362-3UTR;sll0362;NP_441845;NA;123;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0341
sll0362-5UTR;sll0362;NP_441845;NA;48;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0341
sll0370;sll0370;NP_442333;121.62;3246;0;24;342;0.316081331;VLXT;Soluble proteins;0;2;no;sll1864 sll0413
sll0370-5UTR;sll0370;NP_442333;NA;37;0;24;342;27.72972973;VLXT;Soluble proteins;0;2;no;sll1864 sll0413
sll0370-as;sll0370;NP_442333;NA;80;0;24;342;12.825;VLXT;Soluble proteins;0;2;no;sll1864 sll0413
sll0375;sll0375;NA;NA;420;NA;NA;NA;NA;NA;NA;NA;4;no;slr0366 sll0243 slr0431 slr2046
sll0375-as;sll0375;NA;NA;430;NA;NA;NA;NA;NA;NA;NA;4;no;slr0366 sll0243 slr0431 slr2046
sll0379;sll0379;NP_442321;32.073;888;0;NA;NA;NA;NA;unknown;0;1;no;sll1525
sll0380;sll0380;NP_442320;41.173;1098;0;NA;NA;NA;NA;PM;0;5;no;sll0286 sll1525 sll1446 sll0508 sll1174
sll0381;sll0381;NP_442316;30.985;885;0;NA;NA;NA;NA;PM;0;3;no;sll0445 sll0183 sll1184
sll0381-5UTR;sll0381;NP_442316;NA;77;0;NA;NA;NA;NA;PM;0;3;no;sll0445 sll0183 sll1184
sll0382;sll0382;NP_442315;18.414;531;0;NA;NA;NA;NA;NA;NA;3;no;sll0915 slr1222 sll0861
sll0385;sll0385;NP_442312;NA;855;0;NA;NA;NA;NA;unknown;12;1;no;slr0317
sll0398;sll0398;NP_442303;49.937;1323;0;NA;NA;NA;NA;unknown;0;5;no;sll1968 slr2141 sll0518 slr1437 sll0810
sll0400;sll0400;NP_442193;18.27;495;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1204
sll0400-5UTR;sll0400;NP_442193;NA;178;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1204
sll0401;sll0401;NP_442192;44.422;1185;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll1950
sll0401-as;sll0401;NP_442192;NA;158;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll1950
sll0401-as2;sll0401;NP_442192;NA;168;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll1950
sll0402;sll0402;NP_442191;42.352;1170;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1441
sll0402-3UTR;sll0402;NP_442191;NA;112;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1441
sll0402-5UTR;sll0402;NP_442191;NA;120;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1441
sll0404;sll0404;NP_442186;53.032;1479;0;NA;NA;NA;NA;unknown;0;3;no;sll0864 sll0485 sll0474
sll0404-3UTR;sll0404;NP_442186;NA;296;0;NA;NA;NA;NA;unknown;0;3;no;sll0864 sll0485 sll0474
sll0404-5UTR;sll0404;NP_442186;NA;23;0;NA;NA;NA;NA;unknown;0;3;no;sll0864 sll0485 sll0474
sll0405;sll0405;NP_442185;NA;786;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0406
sll0405-5UTR;sll0405;NP_442185;NA;35;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0406
sll0405-as;sll0405;NP_442185;NA;129;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0406
sll0406;sll0406;NP_442184;NA;486;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll0405 slr0467
sll0406-as;sll0406;NP_442184;NA;79;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll0405 slr0467
sll0410;sll0410;NP_442178;18.873;501;0;NA;NA;NA;NA;unknown;0;1;no;slr0383
sll0410-5UTR;sll0410;NP_442178;NA;33;0;NA;NA;NA;NA;unknown;0;1;no;slr0383
sll0412;sll0412;NP_442177;47.506;1260;2;NA;NA;NA;NA;TM;1;1;no;sll1237
sll0414;sll0414;NP_442172;31.501;861;0;NA;NA;NA;NA;unknown;0;3;no;sll1632 sll1563 slr0861
sll0414-5UTR;sll0414;NP_442172;NA;53;0;NA;NA;NA;NA;unknown;0;3;no;sll1632 sll1563 slr0861
sll0415;sll0415;NP_442171;39.5;1065;0;NA;NA;NA;NA;PM;14;2;no;slr1643 sll0424
sll0418;sll0418;NP_441807;34.947;957;1;NA;NA;NA;NA;NA;NA;15;no;slr1906 slr1917 slr0975 slr1609 sll1214 sll0871 sll1752 sll1956 ssr2755 slr0243 sll0676 slr1066 slr1127 ssl2996 slr0108
sll0418-5UTR;sll0418;NP_441807;NA;39;1;NA;NA;NA;NA;NA;NA;15;no;slr1906 slr1917 slr0975 slr1609 sll1214 sll0871 sll1752 sll1956 ssr2755 slr0243 sll0676 slr1066 slr1127 ssl2996 slr0108
sll0421;sll0421;NP_441803;48.42;1296;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1330
sll0421-5UTR;sll0421;NP_441803;NA;22;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1330
sll0421-as;sll0421;NP_441803;NA;80;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1330
sll0423;sll0423;NP_441801;NA;468;0;NA;NA;NA;NA;NA;NA;1;no;slr2026
sll0423-5UTR;sll0423;NP_441801;NA;65;0;NA;NA;NA;NA;NA;NA;1;no;slr2026
sll0424;sll0424;NP_441800;NA;1605;0;NA;NA;NA;NA;unknown;0;4;no;sll0703 sll0415 slr0734 sll0070
sll0427;sll0427;NP_441796;29.911;825;1;NA;NA;NA;NA;unknown;0;5;no;sll0779 slr0774 slr1729 sll1477 sll1614
sll0436;sll0436;NP_442998;17.447;456;0;NA;NA;NA;NA;unknown;0;1;no;sll0647
sll0441;sll0441;NP_442994;53.885;1383;1;NA;NA;NA;NA;unknown;0;1;no;slr0955
sll0443;sll0443;NP_442991;51.061;1410;0;NA;NA;NA;NA;PM;0;1;no;sll1187
sll0443-as;sll0443;NP_442991;NA;153;0;NA;NA;NA;NA;PM;0;1;no;sll1187
sll0447;sll0447;NP_442987;28.065;726;1;NA;NA;NA;NA;PM;1;3;no;slr1048 slr0415 slr1800
sll0449;sll0449;NP_442985;NA;1119;0;NA;NA;NA;NA;unknown;0;2;no;sll0498 sll0446
sll0454;sll0454;NP_442258;37.124;996;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr1431 slr2041
sll0454-3UTR;sll0454;NP_442258;NA;365;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr1431 slr2041
sll0454-5UTR;sll0454;NP_442258;NA;163;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr1431 slr2041
sll0455;sll0455;NP_442255;45.486;1302;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll1813 sll1763
sll0455-5UTR;sll0455;NP_442255;NA;25;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll1813 sll1763
sll0456;sll0456;NP_442254;37.436;1002;0;NA;NA;NA;NA;TM;0;3;no;sll1247 sll0283 slr0962
sll0456-5UTR;sll0456;NP_442254;NA;1152;0;NA;NA;NA;NA;TM;0;3;no;sll1247 sll0283 slr0962
sll0459;sll0459;NP_442239;76.848;2010;0;NA;NA;NA;NA;Soluble proteins;0;3;no;slr0889 sll1061 slr0012
sll0459-5UTR;sll0459;NP_442239;NA;40;0;NA;NA;NA;NA;Soluble proteins;0;3;no;slr0889 sll1061 slr0012
sll0461;sll0461;NP_442236;45.772;1263;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0446
sll0461-5UTR;sll0461;NP_442236;NA;142;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0446
sll0461-as;sll0461;NP_442236;NA;117;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0446
sll0461-as2;sll0461;NP_442236;NA;98;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0446
sll0471;sll0471;NP_442532;76.398;2055;0;NA;NA;NA;NA;Soluble proteins;0;3;no;sll0325 slr0011 slr1838
sll0473;sll0473;NP_442525;NA;990;1;NA;NA;NA;NA;NA;NA;1;no;sll0085
sll0473-5UTR;sll0473;NP_442525;NA;295;1;NA;NA;NA;NA;NA;NA;1;no;sll0085
sll0477;sll0477;NP_442520;NA;765;3;NA;NA;NA;NA;PM;3;1;no;sll1060
sll0477-5UTR;sll0477;NP_442520;NA;16;3;NA;NA;NA;NA;PM;3;1;no;sll1060
sll0477-as;sll0477;NP_442520;NA;68;3;NA;NA;NA;NA;PM;3;1;no;sll1060
sll0493;sll0493;NP_442775;25.169;687;0;NA;NA;NA;NA;PM;0;1;no;sll1294
sll0495;sll0495;NP_442773;58.045;1542;1;7;59;0.114785992;VSL2b;Soluble proteins;0;1;no;slr1235
sll0498;sll0498;NP_442769;16.655;453;2;NA;NA;NA;NA;PM;1;1;no;sll0449
sll0498-3UTR;sll0498;NP_442769;NA;312;2;NA;NA;NA;NA;PM;1;1;no;sll0449
sll0498-5UTR;sll0498;NP_442769;NA;75;2;NA;NA;NA;NA;PM;1;1;no;sll0449
sll0498-as;sll0498;NP_442769;NA;133;2;NA;NA;NA;NA;PM;1;1;no;sll0449
sll0499;sll0499;NP_442767;104.85;2847;0;NA;NA;NA;NA;Soluble proteins;0;5;no;slr1926 sll1101 ssr1375 ssr2553 slr0121
sll0502;sll0502;NP_442762;65.212;1755;0;NA;NA;NA;NA;Soluble proteins;0;4;no;slr0361 sll0280 sll0982 ssr3154
sll0502-5UTR;sll0502;NP_442762;NA;87;0;NA;NA;NA;NA;Soluble proteins;0;4;no;slr0361 sll0280 sll0982 ssr3154
sll0503;sll0503;NP_442761;NA;1425;0;NA;NA;NA;NA;NA;NA;1;no;sll1743
sll0503-as;sll0503;NP_442761;NA;380;0;NA;NA;NA;NA;NA;NA;1;no;sll1743
sll0503-as2;sll0503;NP_442761;NA;328;0;NA;NA;NA;NA;NA;NA;1;no;sll1743
sll0504;sll0504;NP_442760;50.847;1410;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0941 slr0302
sll0505;sll0505;NP_442759;33.599;912;2;NA;NA;NA;NA;PM;2;4;no;sll1656 slr1906 sll0182 sll0914
sll0505-5UTR;sll0505;NP_442759;NA;41;2;NA;NA;NA;NA;PM;2;4;no;sll1656 slr1906 sll0182 sll0914
sll0505-as;sll0505;NP_442759;NA;44;2;NA;NA;NA;NA;PM;2;4;no;sll1656 slr1906 sll0182 sll0914
sll0505-as2;sll0505;NP_442759;NA;38;2;NA;NA;NA;NA;PM;2;4;no;sll1656 slr1906 sll0182 sll0914
sll0509;sll0509;NP_442754;33.898;909;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll1398
sll0509-5UTR;sll0509;NP_442754;NA;64;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll1398
sll0513;sll0513;NP_442749;31.151;834;0;NA;NA;NA;NA;PM;0;5;no;sll1003 sll0006 sll0217 slr1934 sll1679
sll0513-3UTR;sll0513;NP_442749;NA;10;0;NA;NA;NA;NA;PM;0;5;no;sll1003 sll0006 sll0217 slr1934 sll1679
sll0513-5UTR;sll0513;NP_442749;NA;27;0;NA;NA;NA;NA;PM;0;5;no;sll1003 sll0006 sll0217 slr1934 sll1679
sll0513-as;sll0513;NP_442749;NA;75;0;NA;NA;NA;NA;PM;0;5;no;sll1003 sll0006 sll0217 slr1934 sll1679
sll0518;sll0518;NP_442739;43.118;1158;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0398
sll0518-5UTR;sll0518;NP_442739;NA;72;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0398
sll0518-as;sll0518;NP_442739;NA;111;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0398
sll0519;sll0519;NP_442814;40.548;1119;8;NA;NA;NA;NA;TM;8;3;no;sll1614 sll1270 slr0798
sll0519-5UTR;sll0519;NP_442814;NA;81;8;NA;NA;NA;NA;TM;8;3;no;sll1614 sll1270 slr0798
sll0520;sll0520;NP_442813;22.15;582;0;NA;NA;NA;NA;TM;0;2;no;sll1938 slr0452
sll0521;sll0521;NP_442812;21.522;597;5;NA;NA;NA;NA;NA;NA;3;no;slr0798 slr0114 slr1612
sll0525;sll0525;NP_442807;15.113;396;0;NA;NA;NA;NA;unknown;0;1;no;ssl1004
sll0525-3UTR;sll0525;NP_442807;NA;210;0;NA;NA;NA;NA;unknown;0;1;no;ssl1004
sll0525-5UTR;sll0525;NP_442807;NA;7;0;NA;NA;NA;NA;unknown;0;1;no;ssl1004
sll0529;sll0529;NP_442804;78.316;2196;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0103
sll0529-3UTR;sll0529;NP_442804;NA;546;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0103
sll0529-5UTR;sll0529;NP_442804;NA;36;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0103
sll0532;sll0532;NA;NA;255;NA;NA;NA;NA;NA;NA;NA;4;no;slr0321 sll1003 sll0350 sll0178
sll0534;sll0534;NP_442796;24.823;681;0;NA;NA;NA;NA;Soluble proteins;0;4;no;sll0861 sll1562 slr0542 slr1423
sll0536;sll0536;NP_442794;NA;1071;3;NA;NA;NA;NA;NA;NA;3;no;slr1531 sll1797 slr1659
sll0536-5UTR;sll0536;NP_442794;NA;58;3;NA;NA;NA;NA;NA;NA;3;no;slr1531 sll1797 slr1659
sll0540;sll0540;NP_442434;32.534;924;1;NA;NA;NA;NA;PM;1;4;no;slr2038 sll1293 sll1913 slr1198
sll0540-5UTR;sll0540;NP_442434;NA;34;1;NA;NA;NA;NA;PM;1;4;no;slr2038 sll1293 sll1913 slr1198
sll0540-as;sll0540;NP_442434;NA;307;1;NA;NA;NA;NA;PM;1;4;no;slr2038 sll1293 sll1913 slr1198
sll0544;sll0544;NP_442419;37.266;1002;0;NA;NA;NA;NA;PM;0;4;no;slr0446 sll0910 sll1366 slr0280
sll0544-as;sll0544;NP_442419;NA;93;0;NA;NA;NA;NA;PM;0;4;no;slr0446 sll0910 sll1366 slr0280
sll0547;sll0547;NP_442416;24.811;663;0;NA;NA;NA;NA;Soluble proteins;0;4;no;slr1185 slr1787 sll1634 sll1426
sll0549;sll0549;NP_442414;NA;750;0;NA;NA;NA;NA;unknown;0;1;no;slr0653
sll0549-3UTR;sll0549;NP_442414;NA;91;0;NA;NA;NA;NA;unknown;0;1;no;slr0653
sll0549-5UTR;sll0549;NP_442414;NA;31;0;NA;NA;NA;NA;unknown;0;1;no;slr0653
sll0550;sll0550;NP_442413;63.505;1722;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1385
sll0550-3UTR;sll0550;NP_442413;NA;88;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1385
sll0550-5UTR;sll0550;NP_442413;NA;33;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1385
sll0554;sll0554;NP_442409;13.39;357;0;NA;NA;NA;NA;Soluble proteins;0;5;no;sll1541 sll1103 sll0741 sll1514 sll1799
sll0554-5UTR;sll0554;NP_442409;NA;54;0;NA;NA;NA;NA;Soluble proteins;0;5;no;sll1541 sll1103 sll0741 sll1514 sll1799
sll0555;sll0555;NP_442408;NA;843;0;7;86;0.306049822;VLXT;NA;NA;1;no;sll0055
sll0556;sll0556;NP_442407;67.36;1896;12;NA;NA;NA;NA;TM;12;1;no;sll0735
sll0558;sll0558;NP_439902;26.465;702;0;4;50;0.213675214;VLXT;unknown;0;6;no;slr1022 sll1370 slr1731 sll0210 sll1766 sll1527
sll0558-3UTR;sll0558;NP_439902;NA;112;0;4;50;1.339285714;VLXT;unknown;0;6;no;slr1022 sll1370 slr1731 sll0210 sll1766 sll1527
sll0558-5UTR;sll0558;NP_439902;NA;28;0;4;50;5.357142857;VLXT;unknown;0;6;no;slr1022 sll1370 slr1731 sll0210 sll1766 sll1527
sll0564;sll0564;NP_443051;37.474;984;0;NA;NA;NA;NA;unknown;0;2;no;sll0252 sll1699
sll0564-as;sll0564;NP_443051;NA;71;0;NA;NA;NA;NA;unknown;0;2;no;sll0252 sll1699
sll0572;sll0572;NP_443042;52.016;1413;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll1803 sll0042
sll0577;sll0577;NP_443033;17.839;510;0;NA;NA;NA;NA;unknown;0;5;no;slr1376 sll1166 sll0865 sll0070 slr0602
sll0585;sll0585;NP_442554;34.724;954;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr1926 slr0579
sll0585-3UTR;sll0585;NP_442554;NA;219;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr1926 slr0579
sll0585-5UTR;sll0585;NP_442554;NA;46;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr1926 slr0579
sll0585-as;sll0585;NP_442554;NA;26;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr1926 slr0579
sll0588;sll0588;NP_442550;16.516;462;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll1721 slr1266
sll0588-3UTR;sll0588;NP_442550;NA;74;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll1721 slr1266
sll0588-5UTR;sll0588;NP_442550;NA;24;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll1721 slr1266
sll0595;sll0595;NP_442539;15.78;432;0;NA;NA;NA;NA;unknown;0;1;no;sll0861
sll0601;sll0601;NP_442300;30.191;819;0;NA;NA;NA;NA;unknown;0;2;no;sll0445 slr1204
sll0601-3UTR;sll0601;NP_442300;NA;90;0;NA;NA;NA;NA;unknown;0;2;no;sll0445 slr1204
sll0601-5UTR;sll0601;NP_442300;NA;34;0;NA;NA;NA;NA;unknown;0;2;no;sll0445 slr1204
sll0601-as;sll0601;NP_442300;NA;186;0;NA;NA;NA;NA;unknown;0;2;no;sll0445 slr1204
sll0602;sll0602;NP_442297;77.763;2076;1;NA;NA;NA;NA;PM;1;2;no;ssl3382 slr1959
sll0602-5UTR;sll0602;NP_442297;NA;326;1;NA;NA;NA;NA;PM;1;2;no;ssl3382 slr1959
sll0609;sll0609;NP_442290;NA;321;3;NA;NA;NA;NA;NA;NA;1;no;slr2131
sll0611;sll0611;NP_442284;16.853;447;0;NA;NA;NA;NA;unknown;0;2;no;sll2012 ssr1399
sll0611-3UTR;sll0611;NP_442284;NA;140;0;NA;NA;NA;NA;unknown;0;2;no;sll2012 ssr1399
sll0611-5UTR;sll0611;NP_442284;NA;24;0;NA;NA;NA;NA;unknown;0;2;no;sll2012 ssr1399
sll0614;sll0614;NP_442279;14.916;399;0;NA;NA;NA;NA;NA;NA;2;no;slr1216 sll0865
sll0615;sll0615;NP_442278;22.38;621;4;NA;NA;NA;NA;unknown;5;4;no;sll1614 sll1017 slr0765 sll0861
sll0615-3UTR;sll0615;NP_442278;NA;90;4;NA;NA;NA;NA;unknown;5;4;no;sll1614 sll1017 slr0765 sll0861
sll0615-5UTR;sll0615;NP_442278;NA;35;4;NA;NA;NA;NA;unknown;5;4;no;sll1614 sll1017 slr0765 sll0861
sll0616;sll0616;NP_442277;107.01;2799;0;NA;NA;NA;NA;Soluble proteins;0;8;no;sll1799 slr1521 slr0704 sll2005 sll1408 slr1697 sll1360 sll0242
sll0616-3UTR;sll0616;NP_442277;NA;233;0;NA;NA;NA;NA;Soluble proteins;0;8;no;sll1799 slr1521 slr0704 sll2005 sll1408 slr1697 sll1360 sll0242
sll0616-5UTR;sll0616;NP_442277;NA;104;0;NA;NA;NA;NA;Soluble proteins;0;8;no;sll1799 slr1521 slr0704 sll2005 sll1408 slr1697 sll1360 sll0242
sll0616-as;sll0616;NP_442277;NA;210;0;NA;NA;NA;NA;Soluble proteins;0;8;no;sll1799 slr1521 slr0704 sll2005 sll1408 slr1697 sll1360 sll0242
sll0616-as2;sll0616;NP_442277;NA;196;0;NA;NA;NA;NA;Soluble proteins;0;8;no;sll1799 slr1521 slr0704 sll2005 sll1408 slr1697 sll1360 sll0242
sll0621;sll0621;NP_442874;NA;747;6;NA;NA;NA;NA;NA;NA;2;no;slr0798 sll1317
sll0621-5UTR;sll0621;NP_442874;NA;105;6;NA;NA;NA;NA;NA;NA;2;no;slr0798 sll1317
sll0621-as;sll0621;NP_442874;NA;131;6;NA;NA;NA;NA;NA;NA;2;no;slr0798 sll1317
sll0621-as2;sll0621;NP_442874;NA;73;6;NA;NA;NA;NA;NA;NA;2;no;slr0798 sll1317
sll0623;sll0623;NP_442872;24.343;690;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0191 sll1667
sll0623-3UTR;sll0623;NP_442872;NA;129;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0191 sll1667
sll0623-5UTR;sll0623;NP_442872;NA;91;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0191 sll1667
sll0624;sll0624;NP_442870;NA;318;0;NA;NA;NA;NA;NA;NA;4;no;slr1495 slr0073 sll0252 sll0314
sll0626;sll0626;NP_442868;56.707;1470;0;NA;NA;NA;NA;unknown;0;1;no;sll1129
sll0631;sll0631;NP_442857;60.498;1662;0;NA;NA;NA;NA;Soluble proteins;0;6;no;slr0994 sll2007 slr1614 sll1032 slr0011 sll0939
sll0631-5UTR;sll0631;NP_442857;NA;25;0;NA;NA;NA;NA;Soluble proteins;0;6;no;slr0994 sll2007 slr1614 sll1032 slr0011 sll0939
sll0638;sll0638;NP_440301;49.429;1350;1;6;109;0.242222222;VLXT;Soluble proteins;0;4;no;sll1633 slr1077 sll0827 sll0779
sll0638-5UTR;sll0638;NP_440301;NA;106;1;6;109;3.08490566;VLXT;Soluble proteins;0;4;no;sll1633 slr1077 sll0827 sll0779
sll0640;sll0640;NP_440296;66.7;1839;12;23;286;0.466557912;PV2;PM;0;1;no;sll0862
sll0640-as;sll0640;NP_440296;NA;122;12;23;286;7.032786885;PV2;PM;0;1;no;sll0862
sll0640-as2;sll0640;NP_440296;NA;121;12;23;286;7.090909091;PV2;PM;0;1;no;sll0862
sll0640-as3;sll0640;NP_440296;NA;88;12;23;286;9.75;PV2;PM;0;1;no;sll0862
sll0641;sll0641;NP_440295;NA;1530;9;19;199;0.390196078;PV2;PM;9;13;no;sll1129 slr1673 sll0022 sll0832 sll1949 slr1391 slr1266 sll0756 sll0361 sll1761 slr1667 sll0606 ssr2595
sll0641-as;sll0641;NP_440295;NA;107;9;19;199;5.579439252;PV2;PM;9;13;no;sll1129 slr1673 sll0022 sll0832 sll1949 slr1391 slr1266 sll0756 sll0361 sll1761 slr1667 sll0606 ssr2595
sll0654;sll0654;NP_440276;149.39;4230;0;26;281;0.19929078;VLXT;NA;NA;2;no;sll0732 sll0485
sll0654-5UTR;sll0654;NP_440276;NA;116;0;26;281;7.267241379;VLXT;NA;NA;2;no;sll0732 sll0485
sll0654-as;sll0654;NP_440276;NA;23;0;26;281;36.65217391;VLXT;NA;NA;2;no;sll0732 sll0485
sll0654-as2;sll0654;NP_440276;NA;127;0;26;281;6.637795276;VLXT;NA;NA;2;no;sll0732 sll0485
sll0656;sll0656;NP_440275;196.53;5640;0;22;354;0.188297872;VLXT;NA;NA;9;no;slr0528 sll0767 slr1032 slr0719 ssr1238 sll1825 slr2118 sll0985 sll0485
sll0656-as;sll0656;NP_440275;NA;220;0;22;354;4.827272727;VLXT;NA;NA;9;no;slr0528 sll0767 slr1032 slr0719 ssr1238 sll1825 slr2118 sll0985 sll0485
sll0656-as2;sll0656;NP_440275;NA;22;0;22;354;48.27272727;VLXT;NA;NA;9;no;slr0528 sll0767 slr1032 slr0719 ssr1238 sll1825 slr2118 sll0985 sll0485
sll0656-as3;sll0656;NP_440275;NA;49;0;22;354;21.67346939;VLXT;NA;NA;9;no;slr0528 sll0767 slr1032 slr0719 ssr1238 sll1825 slr2118 sll0985 sll0485
sll0659;sll0659;NP_442694;58.441;1569;0;NA;NA;NA;NA;unknown;0;1;no;slr0442
sll0659-as;sll0659;NP_442694;NA;185;0;NA;NA;NA;NA;unknown;0;1;no;slr0442
sll0659-as2;sll0659;NP_442694;NA;37;0;NA;NA;NA;NA;unknown;0;1;no;slr0442
sll0661;sll0661;NP_442689;14.443;387;0;NA;NA;NA;NA;unknown;0;6;no;slr1992 sll1563 slr2077 sll1555 slr0861 sll1553
sll0664;sll0664;NP_442683;NA;921;0;NA;NA;NA;NA;NA;NA;1;no;slr1045
sll0664-5UTR;sll0664;NP_442683;NA;139;0;NA;NA;NA;NA;NA;NA;1;no;slr1045
sll0666;sll0666;NP_442681;NA;420;0;NA;NA;NA;NA;NA;NA;1;no;slr0599
sll0669;sll0669;NP_442676;NA;321;0;NA;NA;NA;NA;NA;NA;3;no;sll1454 slr2092 slr1064
sll0688;sll0688;NP_442263;NA;804;0;NA;NA;NA;NA;NA;NA;3;no;slr1423 sll0687 slr0073
sll0688-5UTR;sll0688;NP_442263;NA;24;0;NA;NA;NA;NA;NA;NA;3;no;slr1423 sll0687 slr0073
sll0689;sll0689;NP_442262;47.871;1386;9;NA;NA;NA;NA;TM;11;1;no;ssr2142
sll0689-3UTR;sll0689;NP_442262;NA;23;9;NA;NA;NA;NA;TM;11;1;no;ssr2142
sll0689-5UTR;sll0689;NP_442262;NA;18;9;NA;NA;NA;NA;TM;11;1;no;ssr2142
sll0696;sll0696;NP_440012;NA;873;7;14;114;0.391752577;PV2;unknown;7;1;no;slr0659
sll0696-as;sll0696;NP_440012;NA;93;7;14;114;3.677419355;PV2;unknown;7;1;no;slr0659
sll0702;sll0702;NP_440001;13.705;393;1;3;72;0.549618321;PV2;NA;NA;6;no;slr1774 slr2018 sll1265 sll1283 sll1699 slr0191
sll0703;sll0703;NP_440000;44.755;1200;0;6;60;0.15;VSL2b;PM;0;3;no;slr0579 sll0424 sll2007
sll0708;sll0708;NP_439988;31.648;855;0;10;88;0.30877193;VLXT;unknown;0;1;no;sll0149
sll0708-3UTR;sll0708;NP_439988;NA;290;0;10;88;0.910344828;VLXT;unknown;0;1;no;sll0149
sll0708-5UTR;sll0708;NP_439988;NA;49;0;10;88;5.387755102;VLXT;unknown;0;1;no;sll0149
sll0708-as;sll0708;NP_439988;NA;27;0;10;88;9.777777778;VLXT;unknown;0;1;no;sll0149
sll0709;sll0709;NP_439987;54.094;1389;0;11;167;0.360691145;PrDOS;Soluble proteins;0;1;no;slr0744
sll0709-5UTR;sll0709;NP_439987;NA;114;0;11;167;4.394736842;PrDOS;Soluble proteins;0;1;no;slr0744
sll0723;sll0723;NP_442951;NA;5316;0;NA;NA;NA;NA;NA;NA;2;no;sll1005 sll1540
